"","year","Pb","As","Zn","Ni","V","Cr","Cu","Ba","Be","Sig8_lignin","Lamb8","Bd.V_soil_biomarker"
"95",1868,12.1,17.125,87.75,44.55,89.975,146.55,27.6575,293.71,1.2325,0.270714285714286,1.52428571428571,0.05
"96",1869,11.9,24.25,94.5,51.3,72.95,227.7,18.815,196.42,1.315,0.271428571428571,1.52857142857143,0.05
"97",1870,11.7,31.375,101.25,58.05,55.925,308.85,9.9725,99.13,1.3975,0.272142857142857,1.53285714285714,0.05
"98",1871,11.5,38.5,108,64.8,38.9,390,1.13,1.84,1.48,0.272857142857143,1.53714285714286,0.05
"99",1872,11.34,32.554,101.98,59.36,52.12,324.94,7.584,78.472,1.406,0.273571428571429,1.54142857142857,0.05
"100",1873,11.18,26.608,95.96,53.92,65.34,259.88,14.038,155.104,1.332,0.274285714285714,1.54571428571429,0.05
"101",1874,11.02,20.662,89.94,48.48,78.56,194.82,20.492,231.736,1.258,0.275,1.55,0.05
"102",1875,10.86,14.716,83.92,43.04,91.78,129.76,26.946,308.368,1.184,0.275714285714286,1.55428571428571,0.05
"103",1876,10.7,8.77,77.9,37.6,105,64.7,33.4,385,1.11,0.276428571428571,1.55857142857143,0.05
"104",1877,11,8.964,78.46,37.76,105.6,65.02,33.62,386,1.116,0.277142857142857,1.56285714285714,0.05
"105",1878,11.3,9.158,79.02,37.92,106.2,65.34,33.84,387,1.122,0.277857142857143,1.56714285714286,0.05
"106",1879,11.6,9.352,79.58,38.08,106.8,65.66,34.06,388,1.128,0.278571428571429,1.57142857142857,0.05
"107",1880,11.9,9.546,80.14,38.24,107.4,65.98,34.28,389,1.134,0.279285714285714,1.57571428571429,0.05
"108",1881,12.2,9.74,80.7,38.4,108,66.3,34.5,390,1.14,0.28,1.58,0.05
"109",1882,13.02,9.72,84.14,38.36,107.2,65.58,38.06,385,1.138,0.29,1.616,0.05
"110",1883,13.84,9.7,87.58,38.32,106.4,64.86,41.62,380,1.136,0.3,1.652,0.05
"111",1884,14.66,9.68,91.02,38.28,105.6,64.14,45.18,375,1.134,0.31,1.688,0.05
"112",1885,15.48,9.66,94.46,38.24,104.8,63.42,48.74,370,1.132,0.32,1.724,0.05
"113",1886,16.3,9.64,97.9,38.2,104,62.7,52.3,365,1.13,0.33,1.76,0.05
"114",1887,17.38,9.698,99.12,38.7,105.8,63.48,52.76,372.2,1.146,0.35,1.828,0.048
"115",1888,18.46,9.756,100.34,39.2,107.6,64.26,53.22,379.4,1.162,0.37,1.896,0.046
"116",1889,19.54,9.814,101.56,39.7,109.4,65.04,53.68,386.6,1.178,0.39,1.964,0.044
"117",1890,20.62,9.872,102.78,40.2,111.2,65.82,54.14,393.8,1.194,0.41,2.032,0.042
"118",1891,21.7,9.93,104,40.7,113,66.6,54.6,401,1.21,0.43,2.1,0.04
"119",1892,21.58,10.048,100.21,40.77,112.8,67.74,50.8,402.9,1.209,0.42,2.136,0.042
"120",1893,21.46,10.166,96.42,40.84,112.6,68.88,47,404.8,1.208,0.41,2.172,0.044
"121",1894,21.34,10.284,92.63,40.91,112.4,70.02,43.2,406.7,1.207,0.4,2.208,0.046
